01coin,zoc,{'': ''}
0-5x-long-algorand-token,algohalf,{'ethereum': ''}
0-5x-long-altcoin-index-token,althalf,{'ethereum': ''}
0-5x-long-balancer-token,balhalf,{'ethereum': ''}
0-5x-long-bitcoin-cash-token,bchhalf,{'ethereum': ''}
0-5x-long-bitcoin-sv-token,bsvhalf,{'ethereum': ''}
0-5x-long-bitcoin-token,half,{'ethereum': ''}
0-5x-long-cardano-token,adahalf,{'ethereum': ''}
0-5x-long-chainlink-token,linkhalf,{'ethereum': ''}
0-5x-long-cosmos-token,atomhalf,{'ethereum': ''}
0-5x-long-defi-index-token,defihalf,{'ethereum': ''}
0-5x-long-dogecoin-token,dogehalf,{'ethereum': ''}
0-5x-long-dragon-index-token,drgnhalf,{'ethereum': ''}
0-5x-long-echange-token-index-token,exchhalf,{'ethereum': ''}
0-5x-long-eos-token,eoshalf,{'ethereum': ''}
0-5x-long-ethereum-classic-token,etchalf,{'ethereum': ''}
0-5x-long-ethereum-token,ethhalf,{'ethereum': ''}
0-5x-long-kyber-network-token,knchalf,{'ethereum': ''}
0-5x-long-matic-token,matichalf,{'ethereum': ''}
0-5x-long-okb-token,OKBHALF,{'ethereum': ''}
0-5x-long-privacy-index-token,privhalf,{'ethereum': ''}
0-5x-long-shitcoin-index-token,halfshit,{'ethereum': ''}
0-5x-long-swipe-token,sxphalf,{'ethereum': ''}
0-5x-long-tether-gold-token,xauthalf,{'ethereum': ''}
0-5x-long-tezos-token,xtzhalf,{'ethereum': ''}
0-5x-long-theta-network-token,thetahalf,{'ethereum': ''}
0-5x-long-xrp-token,xrphalf,{'ethereum': ''}
0cash,zch,{'': ''}
0chain,zcn,"{'ethereum': '0xb9ef770b6a5e12e45983c5d80545258aa38f3b78', 'polygon-pos': '0x8bb30e0e67b11b978a5040144c410e1ccddcba30'}"
0x,zrx,"{'ethereum': '0xe41d2489571d322189246dafa5ebde1f4699f498', 'avalanche': '0x596fa47043f99a4e0f122243b841e55375cde0d2', 'harmony-shard-0': '0x8143e2a1085939caa9cef6665c2ff32f7bc08435'}"
0xcert,zxc,{'ethereum': '0x83e2be8d114f9661221384b3a50d24b96a5653f5'}
0xcharts,0xc,{'binance-smart-chain': '0x86dd49963fe91f0e5bc95d171ff27ea996c0890c'}
0xmonero,0xmr,"{'ethereum': '0x035df12e0f3ac6671126525f1015e47d79dfeddf', 'binance-smart-chain': '0x22a213852cee93eb6d41601133414d180c5684c2', 'polygon-pos': '0x52ede6bba83b7b4ba1d738df0df713d6a2036b71', 'fantom': '0xab41861399eb56896b24fbaabaa8bce45e4a626b', 'xdai': '0x8c88ea1fd60462ef7004b9e288afcb4680a3c50c'}"
1000-florida,realtoken-s-1000-florida-ave-akron-oh,"{'ethereum': '0x1eb16ec378f0ce8f81449120629f52ba28961d47', 'xdai': '0x1eb16ec378f0ce8f81449120629f52ba28961d47'}"
10024-10028-appoline,realtoken-s-10024-10028-appoline-st-detroit-mi,"{'ethereum': '0xb5d30c28f87acf675ed5b9f343e5fff39ec9942c', 'xdai': '0xb5d30c28f87acf675ed5b9f343e5fff39ec9942c'}"
10084-grayton,realtoken-s-10084-grayton-st-detroit-mi,"{'ethereum': '0x92161385c9de8798ad5fb01c0be99ffcbc84dfd8', 'xdai': '0x92161385c9de8798ad5fb01c0be99ffcbc84dfd8'}"
100man,man,{'kardiachain': '0x0acfaa0d0cca295672e09ad906240c03d54f286a'}
100x-coin,100x,{'binance-smart-chain': '0x016c285d5b918b92aa85ef1e147498badfe30d69'}
10604-somerset,realtoken-s-10604-somerset-ave-detroit-mi,"{'ethereum': '0x8626b38267e4fc0d8c92e0bb86f97acab3f6aa05', 'xdai': '0x8626b38267e4fc0d8c92e0bb86f97acab3f6aa05'}"
10612-somerset,realtoken-s-10612-somerset-ave-detroit-mi,"{'ethereum': '0xd1c15cebfdcd16f00d91666bf64c8b66cbf5e9b5', 'xdai': '0xd1c15cebfdcd16f00d91666bf64c8b66cbf5e9b5'}"
